Sequence Name;Group
BK6SB1_3_4830;1394
BK6SB1_3_4953;1394
BK6SB1_3_5614;1394
BK6SB1_3_6430;1394
BK6SB1_3_6771;1394
BK6SB1_3_7038;1394
BK6SB1_3_7289;1394
BK6SB1_3_7511;1394
BK6SB1_3_7541;1394
BK6SB1_3_8230;1394
BK6SB1_3_8455;1394
BK6SB1_3_8604;1394
BK6SB1_3_8678;1394
BK6SB1_3_8965;1394
BK6SB1_3_9412;1394
BK6SB1_3_9757;1394
BK6SB1_3_9894;1394
BK6SB1_3_10225;1394
BK6SB1_3_10230;1394
BK6SB1_3_10520;1394
BK6SB1_3_10569;1394
BK6SB1_3_10598;1394
BK6SB1_3_10675;1394
BK6SB1_3_10688;1394
BK6SB1_3_10748;1394
BK6SB1_3_10799;1394
BK6SB1_3_10870;1394
BK6SB1_3_10893;1394
BK6SB1_3_10901;1394
BK6SB1_3_11143;1394
BK6SB1_3_11291;1394
BK6SB1_3_11362;1394
BK6SB1_3_11945;1394
BK6SB1_3_11978;1394
BK6SB1_3_12045;1394
BK6SB1_3_12144;1394
BK6SB1_3_12204;1394
BK6SB1_3_12240;1394
BK6SB1_3_12335;1394
BK6SB1_3_12358;1394
BK6SB1_3_12613;1394
BK6SB1_3_12759;1394
BK6SB1_4_657;1394
BK6SB1_4_1729;1394
BK6SB1_4_2380;1394
BK6SB1_4_3274;1394
BK6SB1_4_4128;1394
BK6SB1_4_4290;1394
BK6SB1_4_4384;1394
BK6SB1_4_4931;1394
BK6SB1_4_5622;1394
BK6SB1_4_5629;1394
BK6SB1_4_6124;1394
BK6SB1_4_6141;1394
BK6SB1_4_6352;1394
BK6SB1_4_6535;1394
BK6SB1_4_6553;1394
BK6SB1_4_6772;1394
BK6SB1_4_7089;1394
BK6SB1_4_7367;1394
BK6SB1_4_7530;1394
BK6SB1_4_7541;1394
BK6SB1_4_7543;1394
BK6SB1_4_8422;1394
BK6SB1_4_8504;1394
BK6SB1_4_8677;1394
BK6SB1_4_9022;1394
BK6SB1_4_9028;1394
BK6SB1_4_9044;1394
BK6SB1_4_9181;1394
BK6SB1_4_9203;1394
BK6SB1_4_9414;1394
BK6SB1_4_9633;1394
BK6SB1_4_10119;1394
BK6SB1_4_10188;1394
BK6SB1_4_10328;1394
BK6SB1_4_10357;1394
BK6SB1_4_10799;1394
BK6SB1_5_605;1394
BK6SB1_5_624;1394
BK6SB1_5_1571;1394
BK6SB1_5_2108;1394
BK6SB1_5_2893;1394
BK6SB1_5_3662;1394
BK6SB1_5_4007;1394
BK6SB1_5_4088;1394
BK6SB1_5_4476;1394
BK6SB1_5_4623;1394
BK6SB1_5_4744;1394
BK6SB1_5_4917;1394
BK6SB1_5_5087;1394
BK6SB1_5_5094;1394
BK6SB1_5_5529;1394
BK6SB1_5_5714;1394
BK6SB1_5_5721;1394
BK6SB1_5_5839;1394
BK6SB1_5_5884;1394
BK6SB1_5_5910;1394
BK6SB1_5_6502;1394
BK6SB1_5_6652;1394
BK6SB1_5_6752;1394
BK6SB1_5_6763;1394
BK6SB1_5_7501;1394
BK6SB1_5_7589;1394
BK6SB1_5_7910;1394
BK6SB1_5_7945;1394
BK6SB1_5_8074;1394
BK6SB1_5_8433;1394
BK6SB1_5_8502;1394
BK6SB1_5_8606;1394
BK6SB1_5_8901;1394
BK6SB1_5_8906;1394
BK6SB1_5_8953;1394
BK6SB1_5_9056;1394
BK6SB1_5_9083;1394
BK6SB1_5_9157;1394
BK6SB1_5_9385;1394
BK6SB1_5_9492;1394
BK6SC1_1_609;1394
BK6SC1_1_2048;1394
BK6SC1_1_2791;1394
BK6SC1_1_3032;1394
BK6SC1_1_3079;1394
