Sequence Name;OTU
BK1SB1_4_3219;29
BK1SB1_4_3258;29
BK1SB1_4_3432;29
BK1SB1_4_3484;29
BK1SB1_4_3587;29
BK1SB1_4_3652;29
BK1SB1_4_3779;29
BK1SB1_5_11;29
BK1SB1_5_96;29
BK1SB1_5_169;29
BK1SB1_5_180;29
BK1SB1_5_370;29
BK1SB1_5_548;29
BK1SB1_5_588;29
BK1SB1_5_778;29
BK1SB1_5_812;29
BK1SB1_5_901;29
BK1SB1_5_926;29
BK1SB1_5_928;29
BK1SB1_5_1089;29
BK1SB1_5_1137;29
BK1SB1_5_1812;29
BK1SC1_1_12;29
BK1SC1_1_99;29
BK1SC1_1_171;29
BK1SC1_1_357;29
BK1SC1_1_696;29
BK1SC1_1_764;29
BK1SC1_1_797;29
BK1SC1_1_834;29
BK1SC1_1_851;29
BK1SC1_1_1292;29
BK1SC1_1_1373;29
BK1SC1_1_1386;29
BK1SC1_1_1536;29
BK1SC1_2_11;29
BK1SC1_2_98;29
BK1SC1_2_175;29
BK1SC1_2_369;29
BK1SC1_2_587;29
BK1SC1_2_669;29
BK1SC1_2_737;29
BK1SC1_2_928;29
BK1SC1_2_944;29
BK1SC1_2_950;29
BK1SC1_2_1298;29
BK1SC1_2_1578;29
BK1SC1_2_2152;29
BK1SC1_3_12;29
BK1SC1_3_103;29
BK1SC1_3_194;29
BK1SC1_3_210;29
BK1SC1_3_486;29
BK1SC1_3_514;29
BK1SC1_3_599;29
BK1SC1_3_780;29
BK1SC1_3_825;29
BK1SC1_3_868;29
BK1SC1_3_899;29
BK1SC1_3_907;29
BK1SC1_3_1074;29
BK1SC1_3_1097;29
BK1SC1_3_1122;29
BK1SC1_3_1197;29
BK1SC1_3_1355;29
BK1SC1_3_1410;29
BK1SC1_3_1433;29
BK1SC1_3_1471;29
BK1SC1_3_1509;29
BK1SC1_3_1611;29
BK1SC1_3_1646;29
BK1SC1_3_1669;29
BK1SC1_3_1675;29
BK1SC1_3_1734;29
BK1SC1_3_1746;29
BK1SC1_3_1895;29
BK1SC1_3_1923;29
BK1SC1_3_1939;29
BK1SC1_3_2030;29
BK1SC1_3_2128;29
BK1SC1_3_2462;29
BK1SC1_3_2605;29
BK1SC1_3_2776;29
BK1SC1_3_2992;29
BK1SC1_3_3032;29
BK1SC1_3_3126;29
BK1SC1_3_3182;29
BK1SC1_3_3364;29
BK1SC1_3_3412;29
BK1SC1_3_3592;29
BK1SC1_3_3628;29
BK1SC1_3_3686;29
BK1SC1_3_3768;29
BK1SC1_3_3796;29
BK1SC1_3_3850;29
BK1SC1_3_3870;29
BK1SC1_3_3896;29
BK1SC1_3_3962;29
BK1SC1_4_11;29
BK1SC1_4_89;29
BK1SC1_4_158;29
BK1SC1_4_325;29
BK1SC1_4_474;29
BK1SC1_4_582;29
BK1SC1_4_661;29
BK1SC1_4_689;29
BK1SC1_4_743;29
BK1SC1_4_1348;29
BK1SC1_4_1389;29
BK1SC1_5_11;29
BK1SC1_5_89;29
BK1SC1_5_166;29
BK1SC1_5_332;29
BK1SC1_5_637;29
BK1SC1_5_821;29
BK1SC1_5_845;29
BK1SC1_5_871;29
BK1SC1_5_1006;29
BK1SC1_5_1094;29
BK2BA1_1_9;29
BK2BA1_1_121;29
BK2BA1_1_219;29
BK2BA1_1_276;29
BK2BA1_1_283;29
BK2BA1_1_384;29
BK2BA1_1_620;29
BK2BA1_2_10;29
BK2BA1_2_105;29
BK2BA1_2_201;29
BK2BA1_2_216;29
BK2BA1_2_534;29
BK2BA1_2_722;29
BK2BA1_2_861;29
BK2BA1_2_894;29
BK2BA1_2_922;29
BK2BA1_2_1107;29
BK2BA1_2_1171;29
BK2BA1_2_1257;29
BK2BA1_2_1477;29
BK2BA1_2_1509;29
BK2BA1_2_1614;29
BK2BA1_2_1708;29
BK2BA1_2_1748;29
BK2BA1_2_1851;29
BK2BA1_2_2030;29
BK2BA1_2_2097;29
BK2BA1_2_2300;29
BK2BA1_2_2369;29
BK2BA1_2_2454;29
BK2BA1_2_2570;29
BK2BA1_2_2633;29
BK2BA1_2_3127;29
BK2BA1_2_3273;29
BK2BA1_2_3409;29
BK2BA1_2_3848;29
BK2BA1_3_10;29
BK2BA1_3_95;29
BK2BA1_3_140;29
BK2BA1_3_173;29
BK2BA1_3_364;29
BK2BA1_3_557;29
BK2BA1_3_953;29
BK2BA1_3_1121;29
BK2BA1_3_1319;29
BK2BA1_3_1415;29
BK2BA1_3_1480;29
BK2BA1_3_1507;29
BK2BA1_3_1609;29
BK2BA1_3_1808;29
BK2BA1_4_10;29
BK2BA1_4_107;29
BK2BA1_4_171;29
BK2BA1_4_220;29
BK2BA1_4_526;29
BK2BA1_4_562;29
BK2BA1_4_703;29
BK2BA1_4_802;29
BK2BA1_4_954;29
BK2BA1_4_1010;29
BK2BA1_4_1074;29
BK2BA1_4_1116;29
BK2BA1_4_1131;29
BK2BA1_4_1477;29
BK2BA1_4_1583;29
BK2BA1_4_1813;29
BK2BA1_4_1847;29
BK2BA1_4_1942;29
BK2BA1_4_1974;29
BK2BA1_4_1999;29
BK2BA1_4_2034;29
BK2BA1_4_2115;29
BK2BA1_4_2171;29
BK2BA1_4_2221;29
BK2BA1_4_2242;29
BK2BA1_4_2277;29
BK2BA1_4_2339;29
BK2BA1_4_2389;29
BK2BA1_4_2416;29
BK2BA1_4_2507;29
BK2BA1_4_2555;29
BK2BA1_4_2804;29
BK2BA1_4_2854;29
BK2BA1_4_2946;29
BK2BA1_4_3111;29
BK2BA1_4_3133;29
BK2BA1_4_3339;29
BK2BA1_4_3387;29
BK2BA1_4_3467;29
BK2BA1_4_3816;29
BK2BA1_4_4244;29
BK2BA1_4_4541;29
BK2BA1_4_4619;29
BK2BA1_4_4630;29
BK2BA1_4_5148;29
BK2BA1_4_5248;29
BK2BA1_4_5560;29
BK2BA1_4_5580;29
BK2BA1_4_5667;29
BK2BA1_4_5697;29
BK2BA1_4_5714;29
BK2BA1_4_5816;29
BK2BA1_4_5925;29
BK2BA1_4_6053;29
BK2BA1_4_6162;29
BK2BA1_4_6181;29
BK2BA1_4_6240;29
BK2BA1_4_6394;29
BK2BA1_4_6443;29
BK2BA1_4_6654;29
BK2BA1_4_6824;29
BK2BA1_4_6901;29
BK2BA1_4_6921;29
BK2BA1_4_7042;29
BK2BA1_5_9;29
BK2BA1_5_98;29
BK2BA1_5_173;29
BK2BA1_5_182;29
BK2BA1_5_395;29
BK2BA1_5_930;29
BK2BA1_5_1812;29
BK2BA1_5_2137;29
BK2BA1_5_2318;29
BK2BB1_1_11;29
BK2BB1_1_176;29
BK2BB1_1_365;29
BK2BB1_1_796;29
BK2BB1_1_1082;29
BK2BB1_2_10;29
BK2BB1_2_168;29
BK2BB1_2_349;29
BK2BB1_2_703;29
BK2BB1_2_932;29
BK2BB1_2_1740;29
